"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Câu 19. Trong các nguyên nhân sau đây, nguyên nhân nào không gây ho khan: ①","Giãn phế quản","Ho gà","Hen phế quản","Viêm thanh quản","a"
"Câu 20. Trong các nguyên nhân sau đây, nguyên nhân nào không gây ho khan: ①","Viêm thanh quản","Viêm họng","Suy tim","Áp-xe phổi","d"
"Câu 21. Trong các nguyên nhân sau đây, nguyên nhân nào không gây ho kèm khạc đàm: ①","Viêm phổi","Giãn phế quản","Viêm phế quản","Hen phế quản","d"
"Câu 22. Trong các nguyên nhân sau đây, nguyên nhân nào không gây ho kèm khạc đàm: ①","Viêm phổi","Ho gà","Viêm phế quản","Áp-xe phổi","b"
"Câu 23. Trong các nguyên nhân sau đây, nguyên nhân nào không gây ho kèm khạc đàm: ①","Viêm phổi","Ho gà","Viêm phế quản","Áp-xe phổi","b"
"Câu 24. Trong các nguyên nhân sau đây, nguyên nhân nào không gây ho kèm khạc đàm: ①","Viêm thanh quản","Lao phổi","Viêm phế quản","Áp-xe phổi","a"
"Câu 25. Ho khan nhiều về đêm, gần sáng thường gặp trong bệnh lí nào sau đây: ①","Viêm phổi","Hen phế quản","Viêm phế quản","Giãn phế quản","b"
"Câu 26. Ho khan nhiều về đêm, gần sáng thường gặp trong bệnh lí nào sau đây: ①","Suy tim","Ung thư phổi","Viêm phế quản","Giãn phế quản","a"
"Câu 27. Ho khạc đàm 3 lớp là triệu chứng gặp trong bệnh lý nào sau đây: ①","Viêm phế quản mạn","Giãn phế quản","Bệnh phổi tắc nghẽn mạn tính","Viêm phổi","b"
"Câu 28. Trong bệnh lý giãn phế quản, đàm 3 lớp theo tứ tự nào sau đây là đúng: ①","Dịch nhầy, mủ, bọt","Mủ, bọt, dịch nhầy","Bọt, dịch nhầy, mủ","Dịch nhầy, bọt, mủ","c"
"Câu 29. Nhận định nào sau đây là đúng về triệu chứng ho gợi ý viêm phế quản mạn tính: ①","Ho về đêm kéo dài trên 3 tháng/năm trong 2 năm liên tiếp","Ho khan kéo dài trên 3 tháng/năm trong 2 năm liên tiếp","Ho khạc đàm kéo dài trên 3 tháng/năm trong 2 năm liên tiếp","Ho ra máu kéo dài trên 3 tháng/năm trong 2 năm liên tiếp","c"
"Câu 43. Trong các nguyên nhân sau đây, đâu là nguyên nhân gây ho ra máu từ khí phế quản: ②","Dị vật đường thở","Thuyên tắc phổi","Lao phổi","Áp-xe phổi","a"
"Câu 44. Trong các nguyên nhân sau đây, đâu không phải là nguyên nhân gây ho ra máu từ nhu mô phổi: ②","Lao phổi","Viêm phổi","Thuyên tắc phổi","Bệnh bụi phổi","c"
"Câu 45. Trong các nguyên nhân sau đây, đâu không phải là nguyên nhân gây ho ra máu từ khí phế quản: ②","Dãn phế quản","U phế quản","Dị vật đường thở","Lao phổi","d"
"Câu 56. Trong các nhận định sau đây về khó thở, nhận định nào là chưa đúng: ②","Khó thở là thuật ngữ được dùng khi có bất thường về tần số thở, biên độ thở, nhịp thở","Là cảm giác được mô tả bằng trạng thái thở khó chịu, lo lắng khi thở","Khó thở là triệu chứng chủ quan, đôi khi khó lượng giá được","Có mối tương quan chặt chẽ giữa mức độ khó thở và bệnh lý nền","a"
"Câu 57. Trong các nhận định sau đây về khó thở, nhận định nào là chưa đúng: ②","Khó thở có thể xuất hiện khi gắng sức và khi nghỉ","Khó thở là thuật ngữ được dùng khi có bất thường về tần số thở, biên độ thở, nhịp thở","Khó thở là triệu chứng chủ quan, đôi khi khó lượng giá được","Là cảm giác được mô tả bằng trạng thái thở khó chịu, lo lắng khi thở","b"
"Câu 58. Trong các rối loạn sau đây, rối loạn nào không liên quan đến cơ chế khó thở: ②","Giảm sức cản đường thở","Căng phồng lồng ngực","Hạn chế động tác hít vào do đau","Nhu mô phổi không thể giãn nở trong thì hít vào","a"
"Câu 59. Trong các rối loạn sau đây, rối loạn nào không liên quan đến cơ chế khó thở: ②","Căng phồng lồng ngực","Hạn chế động tác hít vào do đau","Giảm áp lực trong khoang màng phổi","Xơ hóa màng phế nang-mao mạch","c"
"Câu 60. Trong các rối loạn sau đây, rối loạn nào không liên quan đến cơ chế khó thở: ②","Căng phồng lồng ngực","Tăng cường động tác hít vào do đau","Tăng áp lực trong khoang màng phổi","Nhu mô phổi không thể giãn nở trong thì hít vào","b"
"Câu 61. Trong các rối loạn sau đây, rối loạn nào không liên quan đến cơ chế khó thở: ②","Tăng sức cản đường thở","Giảm áp lực trong khoang màng phổi","Nhu mô phổi không thể giãn nở trong thì hít vào","Xơ hóa màng phế nang-mao mạch","b"
"Câu 62. Trong các rối loạn sau đây, rối loạn nào không liên quan đến cơ chế khó thở: ②","Hạn chế động tác hít vào do đau","Căng phồng lồng ngực","Giảm sức cản đường thở","Tăng áp lực trong khoang màng phổi","c"
"Câu 63. Những nguyên nhân nào sau đây là nguyên nhân khó thở mạn tính: ②","Viêm phổi","Thuyên tắc phổi","Tràn khí màng phổi","Bệnh phổi mô kẽ","d"
"Câu 64. Những nguyên nhân nào sau đây là nguyên nhân khó thở mạn tính: ②","Xuất huyết phổi","Thuyên tắc phổi","Bệnh phổi mô kẽ","Tràn khí màng phổi","c"
"Câu 65. Nguyên nhân nào sau đây gây khó thở mạn tính: ②","Viêm phổi","Nhồi máu phổi","Thuyên tắc phổi","Xuất huyết phổi","b"
"Câu 66. Nguyên nhân nào sau đây gây khó thở mạn tính: ②","Rối loạn chức năng dây thanh","Nhồi máu phổi","Thuyên tắc phổi","Tràn khí màng phổi","b"
"Câu 67. Những nguyên nhân nào sau đây gây khó thở mạn tính: ②","Rối loạn chức năng dây thanh","Tràn dịch màng phổi","Tràn khí màng phổi","Xuất huyết phổi","b"
"Câu 68. Những nguyên nhân nào sau đây gây khó thở mạn tính: ②","Xuất huyết phổi","Thuyên tắc phổi","Tràn khí màng phổi","Tràn dịch màng phổi","d"
"Câu 69. Những nguyên nhân nào sau đây gây khó thở mạn tính: ②","Hẹp khí quản sau đặt nội khí quản","Rối loạn chức năng dây thanh","Xuất huyết phổi","Thuyên tắc phổi","a"
"Câu 70. Những nguyên nhân nào sau đây gây khó thở mạn tính: ②","Thuyên tắc phổi","Hẹp khí quản sau đặt nội khí quản","Tràn khí màng phổi","Xuất huyết phổi","b"
"Câu 71. Những nguyên nhân nào sau đây gây khó thở cấp tính: ②","Tràn dịch màng phổi","Tràn khí màng phổi","Bệnh phổi mô kẽ","Hẹp khí quản sau đặt nội khí quản","b"
"Câu 72. Những nguyên nhân nào sau đây gây khó thở cấp tính: ②","Nhồi máu phổi","Bệnh phổi mô kẽ","Tràn khí màng phổi","Tràn dịch màng phổi","c"
"Câu 73. Những nguyên nhân nào sau đây gây khó thở cấp tính: ②","Bệnh phổi mô kẽ","Tràn dịch màng phổi","Thuyên tắc phổi","Hẹp khí quản sau đặt nội khí quản","c"
"Câu 74. Những nguyên nhân nào sau đây gây khó thở cấp tính: ②","Bệnh phổi mô kẽ","Tràn dịch màng phổi","Thuyên tắc phổi","Nhồi máu phổi","c"
"Câu 75. Những nguyên nhân nào sau đây gây khó thở cấp tính: ②","Viêm phổi","Tràn dịch màng phổi","Bệnh phổi mô kẽ","Nhồi máu phổi","a"
"Câu 76. Những nguyên nhân nào sau đây gây khó thở cấp tính: ②","Bệnh phổi mô kẽ","Viêm phổi","Hẹp khí quản sau đặt nội khí quản","Tràn dịch màng phổi","b"
"Câu 77. Những nguyên nhân nào sau đây gây khó thở cấp tính: ②","Bệnh phổi mô kẽ","Nhồi máu phổi","Rối loạn chức năng dây thanh","Hẹp khí quản sau đặt nội khí quản","c"
"Câu 78. Những nguyên nhân nào sau đây gây khó thở cấp tính: ②","Bệnh phổi mô kẽ","Tràn dịch màng phổi","Rối loạn chức năng dây thanh","Nhồi máu phổi","c"
"Câu 79. Những nguyên nhân nào sau đây gây khó thở cấp tính: ②","Xuất huyết phổi","Nhồi máu phổi","Bệnh phổi mô kẽ","Tràn dịch màng phổi","a"
"Câu 80. Những nguyên nhân nào sau đây gây khó thở cấp tính: ②","Bệnh phổi mô kẽ","Nhồi máu phổi","Xuất huyết phổi","Hẹp khí quản sau đặt nội khí quản","c"
"Câu 81. Gọi là thở chậm khi tần số thở đạt mốc nào trong các giá trị sau đây: ②","≤10 lần/phút","≤12 lần/phút","≤14 lần/phút","≤16 lần/phút","b"
"Câu 104. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở chủ yếu ở thì hít vào: ③","Cơn hen cấp nặng","Nhồi máu phổi","Viêm phổi","Viêm thanh quản","d"
"Câu 105. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở chủ yếu ở thì hít vào: ③","Viêm thanh quản","Khí phế thũng","Phù phổi","Tràn dịch, tràn khí màng phổi","a"
"Câu 106. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở chủ yếu ở thì hít vào: ③","Khí phế thũng","Phù Quincke","Tràn dịch, tràn khí màng phổi","Viêm phổi","b"
"Câu 107. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở chủ yếu ở thì hít vào: ③","Nhồi máu phổi","Phù Quincke","Xẹp phổi","Cơn hen cấp nặng","b"
"Câu 108. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở chủ yếu ở thì hít vào: ③","Phù phổi","Viêm phổi","Ung thư thanh quản","Khí phế thũng","c"
"Câu 109. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở chủ yếu ở thì hít vào: ③","Ung thư thanh quản","Tràn dịch, tràn khí màng phổi","Cơn hen cấp nặng","Khí phế thũng","a"
"Câu 110. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở chủ yếu ở thì thở ra: ③","Viêm thanh quản","Khí phế thũng","Viêm phổi","Nhồi máu phổi","b"
"Câu 111. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở chủ yếu ở thì thở ra: ③","Phù Quincke","Phù phổi","Khí phế thũng","Tràn dịch, tràn khí màng phổi","c"
"Câu 112. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở chủ yếu ở thì thở ra: ③","Ung thư thanh quản","Phù Quincke","Nhồi máu phổi","Cơn hen cấp nặng","d"
"Câu 113. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở chủ yếu ở thì thở ra: ③","Viêm thanh quản","Cơn hen cấp nặng","Xẹp phổi","Viêm phổi","b"
"Câu 114. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở cả hai thì: ③","Viêm phổi","Viêm thanh quản","Phù Quincke","Khí phế thũng","a"
"Câu 115. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở cả hai thì: ③","Ung thư thanh quản","Phù Quincke","Viêm phổi","Cơn hen cấp nặng","c"
"Câu 116. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở cả hai thì: ③","Viêm thanh quản","Nhồi máu phổi","Khí phế thũng","Cơn hen cấp nặng","b"
"Câu 117. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở cả hai thì: ③","Cơn hen cấp nặng","Phù Quincke","Nhồi máu phổi","Khí phế thũng","c"
"Câu 118. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở cả hai thì:②","Viêm thanh quản","Ung thư thanh quản","Khí phế thũng","Phù phổi","d"
"Câu 119. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở cả hai thì: ②","Phù Quincke","Phù phổi","Khí phế thũng","Cơn hen cấp nặng","b"
"Câu 120. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở cả hai thì: ②","Cơn hen cấp nặng","Ung thư thanh quản","Xẹp phổi","Khí phế thũng","c"
"Câu 121. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở cả hai thì: ②","Khí phế thũng","Viêm thanh quản","Xẹp phổi","Ung thư thanh quản","c"
"Câu 122. Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở cả hai thì: ②","Viêm thanh quản","Khí phế thũng","Ung thư thanh quản","Tràn dịch, tràn khí màng phổi","d"
"Câu 133. Trong các đặc điểm sau đây, đặc điểm nào không phù hợp trong đau ngực trong bệnh màng phổi: ②","Đau sâu, xa thành ngực","Đau thường ở 1 bên lồng ngực","Đau tăng khi hít sâu","Đau có thể khu trú","a"
"Câu 134. Trong các nguyên nhân sau đây, nguyên nhân nào có thể có vị trí đau ngực sau xương ức: ②","Viêm khí-phế quản","U đỉnh phổi","Bệnh màng phổi","Đau thần kinh liên sườn","a"
"Câu 135. Trong các nguyên nhân sau đây, nguyên nhân nào có thể có vị trí đau ngực sau xương ức: ②","Bệnh màng phổi","U đỉnh phổi","Tăng áp lực động mạch phổi","Đau thần kinh liên sườn","c"
"Câu 136. Trong các nguyên nhân sau đây, nguyên nhân nào có thể có vị trí đau ngực sau xương ức: ②","Bệnh màng phổi","Đau thần kinh liên sườn","Bệnh lý trung thất","U đỉnh phổi","c"
"Câu 137. Trong các nguyên nhân sau đây, nguyên nhân nào có thể có vị trí đau ngực sau xương ức: ②","U đỉnh phổi","Bệnh mạch vành","Đau thần kinh liên sườn","Bệnh màng phổi","b"
"Câu 138. Trong các nguyên nhân sau đây, nguyên nhân nào không có vị trí đau ngực sau xương ức: ②","Bệnh màng phổi","Tăng áp lực động mạch phổi","Bệnh lý trung thất","Bệnh mạch vành","a"
"Câu 139. Trong các nguyên nhân sau đây, nguyên nhân nào không có vị trí đau ngực sau xương ức: ②","Viêm khí-phế quản","Bệnh màng phổi","Bệnh lý trung thất","Bệnh mạch vành","b"
"Câu 140. Trong các nguyên nhân sau đây, nguyên nhân nào không có vị trí đau ngực sau xương ức: ②","Viêm khí-phế quản","Đau thần kinh liên sườn","Bệnh lý trung thất","Bệnh mạch vành","b"
"Câu 141. Trong các nguyên nhân sau đây, nguyên nhân nào không có vị trí đau ngực sau xương ức: ②","Viêm khí-phế quản","Tăng áp lực động mạch phổi","Đau thần kinh liên sườn","Bệnh mạch vành","c"
"Câu 142. Trong các nguyên nhân sau đây, nguyên nhân nào không có vị trí đau ngực sau xương ức: ②","Viêm khí-phế quản","Tăng áp lực động mạch phổi","U đỉnh phổi","Bệnh mạch vành","c"
"Câu 143. Trong các nguyên nhân sau đây, nguyên nhân nào không có vị trí đau ngực sau xương ức: ②","Viêm khí-phế quản","Tăng áp lực động mạch phổi","U đỉnh phổi","Bệnh lý trung thất","c"
"Câu 144. Triệu chứng tím bắt đầu xuất hiện khi nồng độ hemoglobin khử trong máu đạt mốc nào trong các giá trị sau đây: ②",">0,5g/dL",">5g/dL","7,5g/dL","10g/dL","b"
"Câu 145. Trong các nhận định sau đây, nhận định nào là đúng về triệu chứng tím: ③","Tím trung ương phản ánh tình trạng thiếu oxy của hệ thống máu động mạch","Tím ngoại biên phản ánh sự tăng lưu lượng máu tuần hoàn ngoại biên","Tím là sự chuyển màu thành xanh hoặc xanh tím của da nhưng không ảnh hưởng đến màu sắc niêm mạc","Tím do tập trung nồng độ các hemoglobin không được oxy hóa trong máu <5g/dL","a"
"Câu 146. Trong các nhận định sau đây, nhận định nào là đúng về triệu chứng tím: ③","Tím trung ương phản ánh tình trạng thiếu oxy của hệ thống máu tĩnh mạch","Tím ngoại biên phản ánh sự giảm lưu lượng máu tuần hoàn ngoại biên","Tím là sự chuyển màu thành xanh hoặc xanh tím của da nhưng không ảnh hưởng đến màu sắc niêm mạc","Tím do tập trung nồng độ các hemoglobin không được oxy hóa trong máu <5g/dL","b"
"Câu 147. Trong các nhận định sau đây, nhận định nào là đúng về triệu chứng tím: ③","Tím trung ương phản ánh tình trạng thiếu oxy của hệ thống máu tĩnh mạch","Tím ngoại biên phản ánh sự tăng lưu lượng máu tuần hoàn ngoại biên","Tím là sự chuyển màu thành xanh hoặc xanh tím của da, niêm mạc","Tím do tập trung nồng độ các hemoglobin không được oxy hóa trong máu <5g/dL","c"
"Câu 148. Trong các nhận định sau đây, nhận định nào là đúng về triệu chứng tím: ③","Tím trung ương phản ánh tình trạng thiếu oxy của hệ thống máu tĩnh mạch","Tím ngoại biên phản ánh sự tăng lưu lượng máu tuần hoàn ngoại biên","Tím là sự chuyển màu thành xanh hoặc xanh tím của da nhưng không ảnh hưởng đến màu sắc niêm mạc","Tím do tập trung nồng độ các hemoglobin không được oxy hóa trong máu >5g/dL","d"
"Câu 149. Trong các nhận định sau đây, nhận định nào là không đúng về triệu chứng tím: ③","Tím trung ương phản ánh tình trạng thiếu oxy của hệ thống máu tĩnh mạch","Tím ngoại biên phản ánh sự giảm lưu lượng máu tuần hoàn ngoại biên","Tím là sự chuyển màu thành xanh hoặc xanh tím của da, niêm mạc","Tím do tập trung nồng độ các hemoglobin không được oxy hóa trong máu >5g/dL","a"
"Câu 150. Trong các nhận định sau đây, nhận định nào là không đúng về triệu chứng tím: ③","Tím trung ương phản ánh tình trạng thiếu oxy của hệ thống máu động mạch","Tím ngoại biên phản ánh sự tăng lưu lượng máu tuần hoàn ngoại biên","Tím là sự chuyển màu thành xanh hoặc xanh tím của da, niêm mạc","Tím do tập trung nồng độ các hemoglobin không được oxy hóa trong máu >5g/dL","b"
"Câu 151. Trong các nhận định sau đây, nhận định nào là không đúng về triệu chứng tím: ③","Tím trung ương phản ánh tình trạng thiếu oxy của hệ thống máu động mạch","Tím ngoại biên phản ánh sự giảm lưu lượng máu tuần hoàn ngoại biên","Tím là sự chuyển màu thành xanh hoặc xanh tím của da nhưng không ảnh hưởng đến màu sắc niêm mạc","Tím do tập trung nồng độ các hemoglobin không được oxy hóa trong máu >5g/dL","c"
"Câu 152. Trong các nhận định sau đây, nhận định nào là không đúng về triệu chứng tím: ③","Tím trung ương phản ánh tình trạng thiếu oxy của hệ thống máu động mạch","Tím ngoại biên phản ánh sự giảm lưu lượng máu tuần hoàn ngoại biên","Tím là sự chuyển màu thành xanh hoặc xanh tím của da, niêm mạc","Tím do tập trung nồng độ các hemoglobin không được oxy hóa trong máu <5g/dL","d"
"Câu 153. Tím trung ương được phân biệt với tím ngoại biên nhờ sự xuất hiện tím ở vị trí nào trong các vị trí sau đây: ③","Tai","Mũi","Ngón tay, ngón chân","Niêm mạc miệng, môi, kết mạc","d"
"Câu 154. Phát biểu nào trong các phát biểu sau đây là không đúng về triệu chứng tím: ③","Tím trung ương có thể xuất hiện ở bất kì nơi nào ở da","Tím trung ương chỉ xuất hiện ở niêm mạc của miệng, môi, kết mạc","Tím ngoại biên có thể xuất hiện ở ngón tay, ngón chân","Tím ngoại biên có thể xuất hiện ở mũi và tai","b"
"Câu 155. Phát biểu nào trong các phát biểu sau đây là không đúng về triệu chứng tím: ③","Tím trung ương có thể xuất hiện ở bất kì nơi nào ở da","Tím trung ương xuất hiện ở niêm mạc của miệng, môi, kết mạc","Tím ngoại biên chỉ xuất hiện ở phần xa của chi","Tím ngoại biên có thể xuất hiện ở mũi và tai","c"
"Câu 156. Phát biểu nào trong các phát biểu sau đây là không đúng về triệu chứng tím: ③","Tím trung ương có thể xuất hiện ở bất kì nơi nào ở da","Tím trung ương xuất hiện ở niêm mạc của miệng, môi, kết mạc","Tím ngoại biên có thể xuất hiện ở ngón tay, ngón chân","Tím ngoại biên không xuất hiện ở mũi và tai","d"
"Câu 157. Phát biểu nào trong các phát biểu sau đây là không đúng về triệu chứng tím: ③","Tím trung ương không xuất hiện ở phần xa của chi","Tím trung ương xuất hiện ở niêm mạc của miệng, môi, kết mạc","Tím ngoại biên có thể xuất hiện ở ngón tay, ngón chân","Tím ngoại biên có thể xuất hiện ở mũi và tai","a"
"Câu 158. Trong các đặc điểm sau đây, đặc điểm nào là đúng về dấu hiệu Campbell: ③","Gặp trong viêm phổi","Do sụn giáp di chuyển xuống ở thì hít vào","Do liên sườn rút lõm ở thì hít vào","Gặp trong hen phế quản","b"
"Câu 159. Trong các đặc điểm sau đây, đặc điểm nào là không đúng về dấu hiệu Hoover: ③","Đáy ngực co vào trong thì hít vào","Gặp trong khí phế thũng","Gặp trong suy hô hấp mạn","Gặp trong liệt cơ hoành","d"
"Câu 160. Trong các phát biểu sau đây về ngón tay dùi trống, phát biểu nào là không đúng: ③","Đây là tình trạng đoạn xa của ngón to ra do tăng tổ chức mô mềm","Thường không đau","Luôn luôn đối xứng, ở tay và chân","Nguyên nhân do bệnh lý tại lồng ngực hoặc ngoài lồng ngực","c"
"Câu 176. Trong các nguyên nhân sau đây, nguyên nhân nào gây tràn dịch màng phổi dịch tiết:②","Suy tim","Hội chứng Demons-Meigs","Viêm tụy cấp","Hội chứng thận hư","c"
